station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
SIO,01.04.1865 00:00,,,13.9,2.6,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,
SIO,01.05.1865 00:00,,,16.8,1.5,,,,,,,,,,,,,,,,,,,31.1,60,,,,,,
SIO,01.06.1865 00:00,,,18.2,-0.8,,,,,,,,,,,,,,,,,,,19.1,40,,,,,,
SIO,01.07.1865 00:00,,,20.0,-0.6,,,,,,,,,,,,,,,,,,,35.5,57,,,,,,
SIO,01.08.1865 00:00,,,16.3,-3.6,,,,,,,,,,,,,,,,,,,80.8,136,,,,,,
SIO,01.09.1865 00:00,,,17.0,1.3,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,
SIO,01.10.1865 00:00,,,9.6,-1.1,,,,,,,,,,,,,,,,,,,68.7,161,,,,,,
SIO,01.11.1865 00:00,,,3.8,-1.2,,,,,,,,,,,,,,,,,,,32.5,64,,,,,,
SIO,01.12.1865 00:00,,,-2.9,-3.8,,,,,,,,,,,,,,,,,,,41.8,62,,,,,,
SIO,01.01.1866 00:00,,,0.1,-0.4,,,,,,,,,,,,,,,,,,,45.3,87,,,,,,
SIO,01.02.1866 00:00,,,3.3,1.0,,,,,,,,,,,,,,,,,,,132.0,327,,,,,,
SIO,01.03.1866 00:00,,,5.2,-2.0,,,,,,,,,,,,,,,,,,,49.5,134,,,,,,
SIO,01.04.1866 00:00,,,10.3,-1.0,,,,,,,,,,,,,,,,,,,59.1,175,,,,,,
SIO,01.05.1866 00:00,,,11.9,-3.4,,,,,,,,,,,,,,,,,,,75.8,146,,,,,,
SIO,01.06.1866 00:00,,,18.4,-0.6,,,,,,,,,,,,,,,,,,,14.9,31,,,,,,
SIO,01.07.1866 00:00,,,18.2,-2.4,,,,,,,,,,,,,,,,,,,45.1,73,,,,,,
SIO,01.08.1866 00:00,,,14.9,-5.0,,,,,,,,,,,,,,,,,,,142.6,239,,,,,,
SIO,01.09.1866 00:00,,,13.9,-1.8,,,,,,,,,,,,,,,,,,,81.0,215,,,,,,
SIO,01.10.1866 00:00,,,9.6,-1.1,,,,,,,,,,,,,,,,,,,24.5,57,,,,,,
SIO,01.11.1866 00:00,,,2.0,-3.0,,,,,,,,,,,,,,,,,,,74.2,147,,,,,,
SIO,01.12.1866 00:00,,,0.6,-0.3,,,,,,,,,,,,,,,,,,,76.6,113,,,,,,
SIO,01.01.1867 00:00,,,-2.0,-2.5,,,,,,,,,,,,,,,,,,,141.0,272,,,,,,
SIO,01.02.1867 00:00,,,4.0,1.7,,,,,,,,,,,,,,,,,,,70.3,174,,,,,,
SIO,01.03.1867 00:00,,,5.6,-1.6,,,,,,,,,,,,,,,,,,,110.3,299,,,,,,
SIO,01.04.1867 00:00,,,9.6,-1.7,,,,,,,,,,,,,,,,,,,82.5,245,,,,,,
SIO,01.05.1867 00:00,,,14.0,-1.3,,,,,,,,,,,,,,,,,,,27.6,53,,,,,,
SIO,01.06.1867 00:00,,,16.9,-2.1,,,,,,,,,,,,,,,,,,,29.7,62,,,,,,
SIO,01.07.1867 00:00,,,17.3,-3.3,,,,,,,,,,,,,,,,,,,41.0,66,,,,,,
SIO,01.08.1867 00:00,,,18.2,-1.7,,,,,,,,,,,,,,,,,,,10.8,18,,,,,,
SIO,01.09.1867 00:00,,,15.0,-0.7,,,,,,,,,,,,,,,,,,,33.3,89,,,,,,
SIO,01.10.1867 00:00,,,6.3,-4.4,,,,,,,,,,,,,,,,,,,93.2,218,,,,,,
SIO,01.11.1867 00:00,,,1.6,-3.4,,,,,,,,,,,,,,,,,,,7.0,14,,,,,,
SIO,01.12.1867 00:00,,,-3.3,-4.2,,,,,,,,,,,,,,,,,,,76.3,113,,,,,,
SIO,01.01.1868 00:00,,,-4.7,-5.2,,,,,,,,,,,,,,,,,,,67.2,130,,,,,,
SIO,01.02.1868 00:00,,,1.8,-0.5,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,
SIO,01.03.1868 00:00,,,3.8,-3.4,,,,,,,,,,,,,,,,,,,50.0,136,,,,,,
SIO,01.04.1868 00:00,,,8.7,-2.6,,,,,,,,,,,,,,,,,,,67.7,201,,,,,,
SIO,01.05.1868 00:00,,,18.5,3.2,,,,,,,,,,,,,,,,,,,15.9,31,,,,,,
SIO,01.06.1868 00:00,,,18.0,-1.0,,,,,,,,,,,,,,,,,,,54.5,113,,,,,,
SIO,01.07.1868 00:00,,,18.8,-1.8,,,,,,,,,,,,,,,,,,,16.3,26,,,,,,
SIO,01.08.1868 00:00,,,17.9,-2.0,,,,,,,,,,,,,,,,,,,45.9,77,,,,,,
SIO,01.09.1868 00:00,,,16.3,0.6,,,,,,,,,,,,,,,,,,,23.2,62,,,,,,
SIO,01.10.1868 00:00,,,8.8,-1.9,,,,,,,,,,,,,,,,,,,46.5,109,,,,,,
SIO,01.11.1868 00:00,,,-0.2,-5.2,,,,,,,,,,,,,,,,,,,11.9,24,,,,,,
SIO,01.12.1868 00:00,,,2.3,1.4,,,,,,,,,,,,,,,,,,,146.2,216,,,,,,
SIO,01.01.1869 00:00,,,-1.7,-2.2,,,,,,,,,,,,,,,,,,,6.0,12,,,,,,
SIO,01.02.1869 00:00,,,4.2,1.9,,,,,,,,,,,,,,,,,,,32.9,81,,,,,,
SIO,01.03.1869 00:00,,,1.5,-5.7,,,,,,,,,,,,,,,,,,,61.4,166,,,,,,
SIO,01.04.1869 00:00,,,10.9,-0.4,,,,,,,,,,,,,,,,,,,3.0,9,,,,,,
SIO,01.05.1869 00:00,,,15.5,0.2,,,,,,,,,,,,,,,,,,,33.1,64,,,,,,
SIO,01.06.1869 00:00,,,15.0,-4.0,,,,,,,,,,,,,,,,,,,32.2,67,,,,,,
SIO,01.07.1869 00:00,,,20.4,-0.2,,,,,,,,,,,,,,,,,,,21.1,34,,,,,,
SIO,01.08.1869 00:00,,,16.4,-3.5,,,,,,,,,,,,,,,,,,,32.9,55,,,,,,
SIO,01.09.1869 00:00,,,14.5,-1.2,,,,,,,,,,,,,,,,,,,39.6,105,,,,,,
SIO,01.10.1869 00:00,,,6.6,-4.1,,,,,,,,,,,,,,,,,,,32.1,75,,,,,,
SIO,01.11.1869 00:00,,,1.8,-3.2,,,,,,,,,,,,,,,,,,,119.4,237,,,,,,
SIO,01.12.1869 00:00,,,-1.5,-2.4,,,,,,,,,,,,,,,,,,,30.4,45,,,,,,
SIO,01.01.1870 00:00,,,-3.4,-3.9,,,,,,,,,,,,,,,,,,,11.1,21,,,,,,
SIO,01.02.1870 00:00,,,0.2,-2.1,,,,,,,,,,,,,,,,,,,9.9,25,,,,,,
SIO,01.03.1870 00:00,,,3.5,-3.7,,,,,,,,,,,,,,,,,,,40.7,110,,,,,,
SIO,01.04.1870 00:00,,,9.8,-1.5,,,,,,,,,,,,,,,,,,,7.9,23,,,,,,
SIO,01.05.1870 00:00,,,15.4,0.1,,,,,,,,,,,,,,,,,,,3.4,7,,,,,,
SIO,01.06.1870 00:00,,,18.0,-1.0,,,,,,,,,,,,,,,,,,,15.9,33,,,,,,
SIO,01.07.1870 00:00,,,20.2,-0.4,,,,,,,,,,,,,,,,,,,33.4,54,,,,,,
SIO,01.08.1870 00:00,,,15.0,-4.9,,,,,,,,,,,,,,,,,,,42.3,71,,,,,,
SIO,01.09.1870 00:00,,,12.6,-3.1,,,,,,,,,,,,,,,,,,,39.3,105,,,,,,
SIO,01.10.1870 00:00,,,7.1,-3.6,,,,,,,,,,,,,,,,,,,210.2,491,,,,,,
SIO,01.11.1870 00:00,,,2.5,-2.5,,,,,,,,,,,,,,,,,,,58.0,115,,,,,,
SIO,01.12.1870 00:00,,,-4.0,-4.9,,,,,,,,,,,,,,,,,,,28.1,42,,,,,,
SIO,01.01.1871 00:00,,,-5.5,-6.0,,,,,,,,,,,,,,,,,,,20.1,39,,,,,,
SIO,01.02.1871 00:00,,,1.3,-1.0,,,,,,,,,,,,,,,,,,,14.0,35,,,,,,
SIO,01.03.1871 00:00,,,5.0,-2.2,,,,,,,,,,,,,,,,,,,25.1,68,,,,,,
SIO,01.04.1871 00:00,,,9.5,-1.8,,,,,,,,,,,,,,,,,,,77.6,230,,,,,,
SIO,01.05.1871 00:00,,,13.8,-1.5,,,,,,,,,,,,,,,,,,,2.0,4,,,,,,
SIO,01.06.1871 00:00,,,13.9,-5.1,,,,,,,,,,,,,,,,,,,29.5,61,,,,,,
SIO,01.07.1871 00:00,,,18.3,-2.3,,,,,,,,,,,,,,,,,,,32.1,52,,,,,,
SIO,01.08.1871 00:00,,,17.8,-2.1,,,,,,,,,,,,,,,,,,,48.9,82,,,,,,
SIO,01.09.1871 00:00,,,15.4,-0.3,,,,,,,,,,,,,,,,,,,84.5,225,,,,,,
SIO,01.10.1871 00:00,,,7.0,-3.7,,,,,,,,,,,,,,,,,,,159.7,373,,,,,,
SIO,01.11.1871 00:00,,,0.5,-4.5,,,,,,,,,,,,,,,,,,,22.0,44,,,,,,
SIO,01.12.1871 00:00,,,-7.3,-8.2,,,,,,,,,,,,,,,,,,,0.1,0,,,,,,
SIO,01.01.1872 00:00,,,-0.9,-1.4,,,,,,,,,,,,,,,,,,,28.2,54,,,,,,
SIO,01.02.1872 00:00,,,2.0,-0.3,,,,,,,,,,,,,,,,,,,42.3,105,,,,,,
SIO,01.03.1872 00:00,,,5.7,-1.5,,,,,,,,,,,,,,,,,,,38.3,104,,,,,,
SIO,01.04.1872 00:00,,,10.1,-1.2,,,,,,,,,,,,,,,,,,,22.7,67,,,,,,
SIO,01.05.1872 00:00,,,12.4,-2.9,,,,,,,,,,,,,,,,,,,116.1,223,,,,,,
SIO,01.06.1872 00:00,,,15.8,-3.2,,,,,,,,,,,,,,,,,,,71.9,149,,,,,,
SIO,01.07.1872 00:00,,,18.8,-1.8,,,,,,,,,,,,,,,,,,,117.2,189,,,,,,
SIO,01.08.1872 00:00,,,15.5,-4.4,,,,,,,,,,,,,,,,,,,119.1,200,,,,,,
SIO,01.09.1872 00:00,,,14.5,-1.2,,,,,,,,,,,,,,,,,,,14.6,39,,,,,,
SIO,01.10.1872 00:00,,,9.1,-1.6,,,,,,,,,,,,,,,,,,,167.1,390,,,,,,
SIO,01.11.1872 00:00,,,3.9,-1.1,,,,,,,,,,,,,,,,,,,58.4,116,,,,,,
SIO,01.12.1872 00:00,,,1.4,0.5,,,,,,,,,,,,,,,,,,,124.2,183,,,,,,
SIO,01.01.1873 00:00,,,-0.8,-1.3,,,,,,,,,,,,,,,,,,,128.7,248,,,,,,
SIO,01.02.1873 00:00,,,-1.2,-3.5,,,,,,,,,,,,,,,,,,,11.6,29,,,,,,
SIO,01.03.1873 00:00,,,6.7,-0.5,,,,,,,,,,,,,,,,,,,102.7,278,,,,,,
SIO,01.04.1873 00:00,,,7.9,-3.4,,,,,,,,,,,,,,,,,,,32.3,96,,,,,,
SIO,01.05.1873 00:00,,,12.0,-3.3,,,,,,,,,,,,,,,,,,,68.9,133,,,,,,
SIO,01.06.1873 00:00,,,16.8,-2.2,,,,,,,,,,,,,,,,,,,18.6,39,,,,,,
SIO,01.07.1873 00:00,,,19.7,-0.9,,,,,,,,,,,,,,,,,,,120.2,194,,,,,,
SIO,01.08.1873 00:00,,,18.7,-1.2,,,,,,,,,,,,,,,,,,,92.9,156,,,,,,
SIO,01.09.1873 00:00,,,13.7,-2.0,,,,,,,,,,,,,,,,,,,20.8,55,,,,,,
SIO,01.10.1873 00:00,,,9.5,-1.2,,,,,,,,,,,,,,,,,,,56.4,132,,,,,,
SIO,01.11.1873 00:00,,,3.8,-1.2,,,,,,,,,,,,,,,,,,,41.6,83,,,,,,
SIO,01.12.1873 00:00,,,-2.9,-3.8,,,,,,,,,,,,,,,,,,,13.1,19,,,,,,
SIO,01.01.1874 00:00,,,-1.5,-2.0,,,,,,,,,,,,,,,,,,,4.8,9,,,,,,
SIO,01.02.1874 00:00,,,0.6,-1.7,,,,,,,,,,,,,,,,,,,2.0,5,,,,,,
SIO,01.03.1874 00:00,,,4.6,-2.6,,,,,,,,,,,,,,,,,,,7.3,20,,,,,,
SIO,01.04.1874 00:00,,,11.2,-0.1,,,,,,,,,,,,,,,,,,,40.0,119,,,,,,
SIO,01.05.1874 00:00,,,11.2,-4.1,,,,,,,,,,,,,,,,,,,31.0,60,,,,,,
SIO,01.06.1874 00:00,,,18.0,-1.0,,,,,,,,,,,,,,,,,,,41.5,86,,,,,,
SIO,01.07.1874 00:00,,,20.5,-0.1,,,,,,,,,,,,,,,,,,,62.5,101,,,,,,
SIO,01.08.1874 00:00,,,16.3,-3.6,,,,,,,,,,,,,,,,,,,54.3,91,,,,,,
SIO,01.09.1874 00:00,,,15.6,-0.1,,,,,,,,,,,,,,,,,,,13.9,37,,,,,,
SIO,01.10.1874 00:00,,,9.4,-1.3,,,,,,,,,,,,,,,,,,,69.8,163,,,,,,
SIO,01.11.1874 00:00,,,1.1,-3.9,,,,,,,,,,,,,,,,,,,238.1,472,,,,,,
SIO,01.12.1874 00:00,,,-4.9,-5.8,,,,,,,,,,,,,,,,,,,95.5,141,,,,,,
SIO,01.01.1875 00:00,,,-1.3,-1.8,,,,,,,,,,,,,,,,,,,108.7,210,,,,,,
SIO,01.02.1875 00:00,,,-2.6,-4.9,,,,,,,,,,,,,,,,,,,23.9,59,,,,,,
SIO,01.03.1875 00:00,,,3.9,-3.3,,,,,,,,,,,,,,,,,,,0.6,2,,,,,,
SIO,01.04.1875 00:00,,,9.6,-1.7,,,,,,,,,,,,,,,,,,,15.4,46,,,,,,
SIO,01.05.1875 00:00,,,15.9,0.6,,,,,,,,,,,,,,,,,,,32.3,62,,,,,,
SIO,01.06.1875 00:00,,,17.6,-1.4,,,,,,,,,,,,,,,,,,,49.4,102,,,,,,
SIO,01.07.1875 00:00,,,16.8,-3.8,,,,,,,,,,,,,,,,,,,102.5,166,,,,,,
SIO,01.08.1875 00:00,,,18.1,-1.8,,,,,,,,,,,,,,,,,,,88.3,148,,,,,,
SIO,01.09.1875 00:00,,,15.6,-0.1,,,,,,,,,,,,,,,,,,,47.8,127,,,,,,
SIO,01.10.1875 00:00,,,8.0,-2.7,,,,,,,,,,,,,,,,,,,46.0,107,,,,,,
SIO,01.11.1875 00:00,,,1.7,-3.3,,,,,,,,,,,,,,,,,,,173.8,345,,,,,,
SIO,01.12.1875 00:00,,,-4.2,-5.1,,,,,,,,,,,,,,,,,,,1.6,2,,,,,,
SIO,01.01.1876 00:00,,,-1.4,-1.9,,,,,,,,,,,,,,,,,,,3.4,7,,,,,,
SIO,01.02.1876 00:00,,,1.5,-0.8,,,,,,,,,,,,,,,,,,,97.2,241,,,,,,
SIO,01.03.1876 00:00,,,3.8,-3.4,,,,,,,,,,,,,,,,,,,167.9,455,,,,,,
SIO,01.04.1876 00:00,,,9.2,-2.1,,,,,,,,,,,,,,,,,,,49.5,147,,,,,,
SIO,01.05.1876 00:00,,,11.3,-4.0,,,,,,,,,,,,,,,,,,,41.9,81,,,,,,
SIO,01.06.1876 00:00,,,16.8,-2.2,,,,,,,,,,,,,,,,,,,35.1,73,,,,,,
SIO,01.07.1876 00:00,,,19.4,-1.2,,,,,,,,,,,,,,,,,,,36.8,59,,,,,,
SIO,01.08.1876 00:00,,,18.3,-1.6,,,,,,,,,,,,,,,,,,,43.4,73,,,,,,
SIO,01.09.1876 00:00,,,12.3,-3.4,,,,,,,,,,,,,,,,,,,100.2,266,,,,,,
SIO,01.10.1876 00:00,,,10.9,0.2,,,,,,,,,,,,,,,,,,,12.1,28,,,,,,
SIO,01.11.1876 00:00,,,1.9,-3.1,,,,,,,,,,,,,,,,,,,41.4,82,,,,,,
SIO,01.12.1876 00:00,,,1.9,1.0,,,,,,,,,,,,,,,,,,,115.9,171,,,,,,
SIO,01.01.1877 00:00,,,1.3,0.8,,,,,,,,,,,,,,,,,,,40.4,78,,,,,,
SIO,01.02.1877 00:00,,,2.7,0.4,,,,,,,,,,,,,,,,,,,132.4,328,,,,,,
SIO,01.03.1877 00:00,,,3.3,-3.9,,,,,,,,,,,,,,,,,,,52.6,143,,,,,,
SIO,01.04.1877 00:00,,,9.1,-2.2,,,,,,,,,,,,,,,,,,,36.8,109,,,,,,
SIO,01.05.1877 00:00,,,11.6,-3.7,,,,,,,,,,,,,,,,,,,83.9,161,,,,,,
SIO,01.06.1877 00:00,,,19.3,0.3,,,,,,,,,,,,,,,,,,,10.4,22,,,,,,
SIO,01.07.1877 00:00,,,17.4,-3.2,,,,,,,,,,,,,,,,,,,88.8,143,,,,,,
SIO,01.08.1877 00:00,,,18.5,-1.4,,,,,,,,,,,,,,,,,,,58.0,97,,,,,,
SIO,01.09.1877 00:00,,,12.5,-3.2,,,,,,,,,,,,,,,,,,,10.6,28,,,,,,
SIO,01.10.1877 00:00,,,6.6,-4.1,,,,,,,,,,,,,,,,,,,23.8,56,,,,,,
SIO,01.11.1877 00:00,,,3.6,-1.4,,,,,,,,,,,,,,,,,,,91.3,181,,,,,,
SIO,01.12.1877 00:00,,,-1.5,-2.4,,,,,,,,,,,,,,,,,,,57.5,85,,,,,,
SIO,01.01.1878 00:00,,,-4.2,-4.7,,,,,,,,,,,,,,,,,,,26.1,50,,,,,,
SIO,01.02.1878 00:00,,,0.3,-2.0,,,,,,,,,,,,,,,,,,,17.7,44,,,,,,
SIO,01.03.1878 00:00,,,3.8,-3.4,,,,,,,,,,,,,,,,,,,22.3,60,,,,,,
SIO,01.04.1878 00:00,,,8.7,-2.6,,,,,,,,,,,,,,,,,,,88.2,262,,,,,,
SIO,01.05.1878 00:00,,,14.6,-0.7,,,,,,,,,,,,,,,,,,,59.5,114,,,,,,
SIO,01.06.1878 00:00,,,16.0,-3.0,,,,,,,,,,,,,,,,,,,83.3,173,,,,,,
SIO,01.07.1878 00:00,,,18.0,-2.6,,,,,,,,,,,,,,,,,,,27.5,44,,,,,,
SIO,01.08.1878 00:00,,,16.9,-3.0,,,,,,,,,,,,,,,,,,,108.3,182,,,,,,
SIO,01.09.1878 00:00,,,13.8,-1.9,,,,,,,,,,,,,,,,,,,0.0,0,,,,,,
SIO,01.10.1878 00:00,,,9.1,-1.6,,,,,,,,,,,,,,,,,,,63.6,149,,,,,,
SIO,01.11.1878 00:00,,,1.7,-3.3,,,,,,,,,,,,,,,,,,,26.6,53,,,,,,
SIO,01.12.1878 00:00,,,-3.4,-4.3,,,,,,,,,,,,,,,,,,,87.2,129,,,,,,
SIO,01.01.1879 00:00,,,-1.7,-2.2,,,,,,,,,,,,,,,,,,,54.2,105,,,,,,
SIO,01.02.1879 00:00,,,1.4,-0.9,,,,,,,,,,,,,,,,,,,68.3,169,,,,,,
SIO,01.03.1879 00:00,,,5.6,-1.6,,,,,,,,,,,,,,,,,,,11.3,31,,,,,,
SIO,01.04.1879 00:00,,,7.4,-3.9,,,,,,,,,,,,,,,,,,,35.8,106,,,,,,
SIO,01.05.1879 00:00,,,9.8,-5.5,,,,,,,,,,,,,,,,,,,95.0,183,,,,,,
SIO,01.06.1879 00:00,,,17.3,-1.7,,,,,,,,,,,,,,,,,,,67.7,140,,,,,,
SIO,01.07.1879 00:00,,,15.5,-5.1,,,,,,,,,,,,,,,,,,,91.0,147,,,,,,
SIO,01.08.1879 00:00,,,18.5,-1.4,,,,,,,,,,,,,,,,,,,47.4,80,,,,,,
SIO,01.09.1879 00:00,,,14.0,-1.7,,,,,,,,,,,,,,,,,,,54.1,144,,,,,,
SIO,01.10.1879 00:00,,,6.8,-3.9,,,,,,,,,,,,,,,,,,,51.5,120,,,,,,
