year-month,total precipitation (mm),mean temperature (°C)
1935-01,71.8,-1.6
1935-02,194.6,2.1
1935-03,96.7,3.9
1935-04,118.2,7.8
1935-05,83.4,11.4
1935-06,94.0,17.9
1935-07,96.4,18.6
1935-08,170.7,16.1
1935-09,75.5,14.1
1935-10,266.3,9.1
1935-11,79.4,6.3
1935-12,122.4,1.3
1936-01,70.0,5.5
1936-02,56.5,1.8
1936-03,48.5,7.7
1936-04,89.4,8.1
1936-05,70.8,12.8
1936-06,117.6,15.4
1936-07,207.3,16.6
1936-08,102.1,16.5
1936-09,132.7,13.9
1936-10,60.6,5.8
1936-11,22.9,4.8
1936-12,111.1,1.4
1937-01,68.7,1.8
1937-02,141.6,3.8
1937-03,93.6,4.4
1937-04,78.8,8.5
1937-05,72.5,14.7
1937-06,131.6,17.1
1937-07,209.5,17.6
1937-08,133.3,16.6
1937-09,102.5,13.1
1937-10,70.9,10.6
1937-11,38.1,3.7
1937-12,59.6,0.1
1938-01,97.5,0.5
1938-02,51.4,-0.2
1938-03,42.3,6.2
1938-04,38.5,5.4
1938-05,97.7,11.5
1938-06,116.2,17.0
1938-07,169.6,17.1
1938-08,132.3,16.7
1938-09,89.9,14.3
1938-10,54.2,8.7
1938-11,17.2,5.5
1938-12,60.9,0.5
1939-01,48.9,2.9
1939-02,21.3,1.7
1939-03,133.0,1.8
1939-04,108.0,9.9
1939-05,188.6,10.0
1939-06,94.8,15.7
1939-07,138.3,16.8
1939-08,129.4,16.9
1939-09,76.7,13.0
1939-10,152.2,8.7
1939-11,187.5,6.1
1939-12,49.3,-0.1
1940-01,87.9,-3.8
1940-02,81.9,0.4
1940-03,86.2,4.8
1940-04,96.4,8.9
1940-05,137.2,12.4
1940-06,91.7,15.5
1940-07,201.4,16.3
1940-08,115.3,15.4
1940-09,179.1,13.2
1940-10,57.5,8.5
1940-11,103.4,4.9
1940-12,61.0,-3.7
1941-01,48.4,-1.4
1941-02,40.8,2.6
1941-03,40.4,5.0
1941-04,57.5,7.4
1941-05,132.8,9.7
1941-06,86.3,17.0
1941-07,89.5,19.4
1941-08,169.8,15.7
1941-09,63.0,12.7
1941-10,139.6,7.2
1941-11,50.1,4.2
1941-12,53.4,-0.3
1942-01,84.4,-3.5
1942-02,39.4,-2.2
1942-03,54.7,5.8
1942-04,56.5,8.4
1942-05,99.9,13.3
1942-06,91.7,16.2
1942-07,107.4,17.5
1942-08,124.7,17.2
1942-09,135.3,15.7
1942-10,93.5,11.4
1942-11,38.4,3.0
1942-12,25.3,2.5
1943-01,71.9,0.9
1943-02,50.5,2.1
1943-03,56.4,7.0
1943-04,69.5,9.8
1943-05,52.4,13.8
1943-06,138.7,15.1
1943-07,110.4,17.5
1943-08,55.1,19.0
1943-09,137.5,15.2
1943-10,0.5,11.5
1943-11,73.7,3.6
1943-12,21.3,1.5
1944-01,70.3,0.7
1944-02,139.0,-1.5
1944-03,92.4,1.3
1944-04,45.2,10.4
1944-05,60.3,12.6
1944-06,123.4,14.8
1944-07,122.7,17.6
1944-08,43.6,20.3
1944-09,105.7,13.3
1944-10,95.2,8.4
1944-11,198.5,3.5
1944-12,65.7,0.3
1945-01,36.4,-4.6
1945-02,101.5,2.8
1945-03,144.2,5.8
1945-04,111.5,9.8
1945-05,91.6,15.2
1945-06,127.2,17.8
